,road_start,road_finish,line_length,street_name,Subarea
1214,LOMBARD ST WEST,VERNON STREET,97.0,DESMOND STREET,11
1215,BANGOR ROAD,STANAWAY ROAD,392.0,DEVENISH ROAD,10
1220,STEPHENS STREET LOWER,BOW LANE EAST,115.0,DIGGES LANE,13
1221,MERCER STREET UPPER,AUNGIER STREET,93.0,DIGGES STREET UPPER,13
1222,JOHN DILLON STREET,PATRICK STREET,49.0,DILLON PLACE SOUTH,6
1223,FASSAUGH AVENUE,FASSAUGH AVENUE,513.0,DINGLE ROAD,11
1227,MOUNT PROSPECT AVENUE,CLONTARF ROAD,512.0,DOLLYMOUNT AVENUE,15
1229,CLONTARF ROAD,ST.GABRIELS ROAD,679.0,DOLLYMOUNT PARK,15
1233,DAVITT ROAD,CRUMLIN ROAD,306.0,DOLPHIN ROAD,R08
1234,DAVITT ROAD,CRUMLIN ROAD,91.0,DOLPHIN ROAD,R08
1235,DAVITT ROAD,CRUMLIN ROAD,1056.0,DOLPHIN ROAD,R08
1236,DOLPHINS BARN BRIDGE,S.C.R,182.0,DOLPHINS BARN,R04
1237,PARNELL STREET,DOLPHINS BARN,20.0,DOLPHINS BARN BRIDGE,8
1238,S.C.R,CORK STREET,257.0,DOLPHINS BARN STREET,R04
1239,KINGS INN STREET,DOMNICK STREET LOWER,217.0,DOMINICK LANE,11
1241,DOMNICK STREET LOWER,GRANBY PLACE,67.0,DOMINICK PLACE,11
1242,DORSET STREET,PARNELL STREET,304.0,DOMINICK STREET LOWER,11
1243,WESTERN WAY,DORSET STREET,326.0,DOMINICK STREET UPPER,6
1247,HOLYWELL AVENUE,CARDONAGH ROAD,580.0,DONAGHMEDE ROAD,5
1249,MC DOWELL AVENUE,O'REILLY AVENUE,168.0,DONNELLAN AVENUE,2
1254,MOREHAMPTON ROAD,ANGLESEA ROAD,533.0,DONNYBROOK ROAD,R06
1255,MALAHIDE ROAD,BELTON PARK ROAD,397.0,DONNYCARNEY ROAD,13
1256,LULLYMORE TERRACE,CORK STREET,110.0,DONORE AVENUE,8
1257,LULLYMORE TERRACE,CORK STREET,39.0,DONORE AVENUE,8
1258,LULLYMORE TERRACE,CORK STREET,634.0,DONORE AVENUE,8
1259,LULLYMORE TERRACE,CORK STREET,70.0,DONORE AVENUE,8
1260,LULLYMORE TERRACE,CORK STREET,71.0,DONORE AVENUE,8
1261,RUTLEDGE TERRACE,EBONEZER TERRACE,137.0,DONORE ROAD,7
1263,BLACKPITTS,CLANBRASSIL STREET,83.0,DONOVAN LANE,7
1266,JOY STREET,SOUTH LOTTS ROAD,129.0,DORIS STREET,16
1267,DORSET STREET LOWER,SHERRARD STREET UPPER,132.0,DORSET LANE,9
1270,ECCLES STREET,BINNS BRIDGE,540.0,DORSET STREET LOWER,R08
1271,DOMNICK STREET,ECCLES STREET,155.0,DORSET STREET UPPER,R08
1272,DOMNICK STREET,ECCLES STREET,434.0,DORSET STREET UPPER,R08
1275,SUNDRIVE ROAD,CLONARD ROAD,733.0,DOWNPATRICK ROAD,10
1276,FASSAUGH ROAD,NEW CABRA ROAD,303.0,DOWTH AVENUE,12
1278,ST. PAPPINS ROAD,ST. CANICES ROAD,168.0,DRAPIER ROAD,7
1279,ST.PAPPINS ROAD,ST.CANICES ROAD,84.0,DRAPIER ROAD,7
1280,KILDARE ROAD,LONG MILE ROAD,668.0,DRIMNAGH ROAD,R04
1281,ERRIGAL ROAD,COOLEY ROAD,666.0,DROMARD ROAD,8
1282,SEAPORT AVENUE,MARINE DRIVE,120.0,DROMARD TERRACE,17
1283,BEAUMONT ROAD,ELM MOUNT AVENUE,426.0,DROMAWLING ROAD,8
1285,DROMNANANE,ELM MOUNT AVENUE,146.0,DROMEEN AVENUE,8
1288,DROMAWLING ROAD,COOLATREE ROAD,156.0,DROMNANANE ROAD,8
1289,LISSADEL AVENUE,RAFTERS ROAD,171.0,DROMORE ROAD,8
1294,AUGHRIM STREET,N.C.R,97.0,DRUMALEE PARK,1
1295,AUGHRIM STREET,N.C.R,400.0,DRUMALEE ROAD,1
1296,CARNLOUGH ROAD,DRUMCLIFFE ROAD,143.0,DRUMCLIFFE DRIVE,11
1297,CARNLOUGH ROAD,RATOATH ROAD,702.0,DRUMCLIFFE ROAD,11
1299,BINNS BRIDGE,DRUMCONDRA BRIDGE,221.0,DRUMCONDRA ROAD LOWER,R01
1300,BINNS BRIDGE,DRUMCONDRA BRIDGE,634.0,DRUMCONDRA ROAD LOWER,R01
1301,DRUMCONDRA BRIDGE,GRIFFITH AVENUE,910.0,DRUMCONDRA ROAD UPPER,R01
1303,ROSSMORE AVENUE,DRUMFINN ROAD,160.0,DRUMFINN PARK,1
1304,BALLYFERMOT ROAD,ROSSMORE ROAD,882.0,DRUMFINN ROAD,1
1305,MOUNT DRUMMOND AVENUE,FITZGERALD STREET,67.0,DRUMMOND PLACE,3
1306,EXCHEQUER STREET,STEPHENS STREET LOWER,212.0,DRURY STREET,13
1307,GREENVILLE AVENUE,SOUTH CIRCULAR ROAD,306.0,DUFFERIN AVENUE,7
1309,DUKE STREET,ANNE STREET SOUTH,88.0,DUKE LANE UPPER,17
1310,DAWSON STREET,GRAFTON STREET,119.0,DUKE STREET,17
1313,DUNARD ROAD,DUNARD AVENUE,179.0,DUNARD DRIVE,10
1316,DUNARD DRIVE,DUNARD AVENUE,192.0,DUNARD WALK,10
1317,BALLYSHANNON ROAD,OSCAR TRAYNOR ROAD,491.0,DUNDANIEL ROAD,7
1318,BALLYSHANNON ROAD,OSCAR TRAYNOR ROAD,70.0,DUNDANIEL ROAD,7
1319,MILLTOWN ROAD,CITY BOUNDARY,37.0,DUNDRUM ROAD,8
1320,VERNON AVENUE,HOWTH ROAD,888.0,DUNLUCE ROAD,15
1322,KILKIERNAN ROAD,KILKIERNAN ROAD,566.0,DUNMANUS ROAD,11
1323,PORTLAND ROW,CHARLEVILLE MALL,16.0,DUNNE STREET,13
1324,PORTLAND ROW,CHARLEVILLE MALL,183.0,DUNNE STREET,13
1326,CASTLE GROVE,HOWTH ROAD,343.0,DUNSEVERICK ROAD,15
1327,DUNSINK ROAD,DUNSINK DRIVE,421.0,DUNSINK AVENUE,5
1328,WELLMOUNT ROAD,DUNSINK ROAD,358.0,DUNSINK DRIVE,5
1329,WELLMOUNT ROAD,DUNSINK ROAD,69.0,DUNSINK DRIVE,5
1330,WELLMOUNT ROAD,DUNSINK ROAD,24.0,DUNSINK DRIVE,5
1331,DUNSINK PARK,DUNSINK AVENUE,207.0,DUNSINK GARDENS,5
1332,DUNSINK AVENUE,DUNSINK PARK,161.0,DUNSINK GREEN,5
1333,DUNSINK ROAD,DUNSINK AVENUE,295.0,DUNSINK PARK,5
1334,WELLMOUNT ROAD,DUNSINK DRIVE,89.0,DUNSINK ROAD,5
1335,WELLMOUNT ROAD,DUNSINK DRIVE,476.0,DUNSINK ROAD,5
1336,KILLEEN ROAD,BEECHWOOD AVE LOWER,245.0,DUNVILLE AVENUE,8
1337,KILLEEN ROAD,BEECHWOOD AVENUE LOWER,55.0,DUNVILLE AVENUE,8
1338,GILFORD ROAD,NEWGROVE AVENUE,58.0,DURHAM ROAD,17
1339,GILFORD ROAD,NEWGROVE AVENUE,336.0,DURHAM ROAD,17
1340,LISMORE ROAD,STANNAWAY ROAD,447.0,DURROW ROAD,10
1343,SACKVILLE PLACE,SAIL STREET NORTH,102.0,EARL PLACE,15
1344,O'CONNELL STREET,MARLBOROUGH STREET,121.0,EARL STREET NORTH,15
1345,THOMAS COURT,MEATH STREET,136.0,EARL STREET SOUTH,6
1346,THOMAS COURT,MEATH STREET,58.0,EARL STREET SOUTH,6
1348,LEESON STREET LOWER,ADELAIDE ROAD,284.0,EARLSFORT TERRACE,14
1349,LEESON STREET LOWER,ADELAIDE ROAD,105.0,EARLSFORT TERRACE,14
1350,EAST WALL,SHERRIFF STREET UPPER,14.0,EAST ROAD,16
1351,EAST WALL,SHERRIFF STREET UPPER,214.0,EAST ROAD,16
1352,EAST WALL,SHERRIFF STREET UPPER,416.0,EAST ROAD,16
1353,NORTH STRAND ROAD,NORTH WALL,1970.0,EAST WALL ROAD,R02
1357,TERENURE ROAD NORTH,TERENURE PARK,168.0,EATON ROAD,12
1358,EATON ROAD,TERENURE PARK,373.0,EATON SQUARE,12
1359,DONORE AVENUE,COW PARLOUR,144.0,EBENEZER TERRACE,7
1360,HOGAN PLACE,HOGAN AVENUE,81.0,EBLANA VILLAS,20
1361,DORSET STREET LOWER,ECCLES PLACE,25.0,ECCLES COURT,5
1362,ECCLES STREET,DORSET STREET LOWER,101.0,ECCLES PLACE,5
1363,BERKELEY ROAD,DORSET STREET UPPER,429.0,ECCLES STREET,5
1364,JAMES STREET,GRAND CANAL PLACE,102.0,ECHLIN STREET,2
1365,BUTT BRIDGE,O'CONNELL STREET,279.0,EDEN QUAY,R01
1367,EDENMORE ROAD,EDENMORE PARK,1019.0,EDENMORE AVENUE,11
1368,EDENMORE ROAD,EDENMORE AVENUE,1019.0,EDENMORE CRESCENT,11
1369,EDENMORE PARK,EDENMORE GREEN,264.0,EDENMORE DRIVE,11
1370,EDENMORE GREEN,EDENMORE PARK,264.0,EDENMORE GARDENS,11
1371,EDENMORE CRESCENT,EDENMORE CRESCENT,345.0,EDENMORE GREEN,11
1372,EDENMORE CRESCENT,EDENMORE CRESCENT,221.0,EDENMORE GREEN,11
1373,EDENMORE PARK,EDENMORE GREEN,283.0,EDENMORE GROVE,11
1374,EDENMORE PARK,EDENMORE GREEN,73.0,EDENMORE GROVE,11
1375,EDENMORE AVENUE,EDENMORE ROAD,295.0,EDENMORE PARK,10
1376,EDENMORE AVENUE,EDENMORE ROAD,256.0,EDENMORE PARK,10
1377,BEECHWOOD ROAD,ALBANY ROAD,322.0,EDENVALE ROAD,8
1378,GROSVENOR PLACE,LEINSTER ROAD WEST,217.0,EFFRA ROAD,4
1381,DONNYBROOK ROAD,SANDFORD ROAD,641.0,EGLINTON ROAD,11
1383,DONNYBROOK ROAD,LONGS LANE,110.0,EGLINTON TERRACE,13
1384,DONNYBROOK ROAD,LONGS LANE,142.0,EGLINTON TERRACE,13
1387,WELLINGTON ROAD,PEMBROKE ROAD,540.0,ELGIN ROAD,13
1388,MABEL STREET,SAINT GEORGES AVENUE,175.0,ELIZABETH STREET,15
1391,ELLIS STREET,LIFFEY STREET,264.0,ELLIS QUAY,R01
1392,SARSFIELD QUAY,BENBURB STREET,57.0,ELLIS STREET,1
1421,ELMFIELD AVENUE,ELMFIELD WAY,65.0,ELMFIELD RISE,5
1431,MERRION ROW,ELY PLACE UPPER,56.0,ELY PLACE,18
1432,MERRION ROW,ELY PLACE UPPER,35.0,ELY PLACE,18
1435,SEVILLE PLACE,SERRIFF STREET LOWER,163.0,EMERALD PLACE,16
1437,SERRIFF STREET LOWER,SEVILLE PLACE,128.0,EMERALD STREET,16
1439,TYRCONNELL ROAD,SOUTH CIRCULAR ROAD,150.0,EMMET ROAD,7
1440,TYRCONNELL ROAD,SOUTH CIRCULAR ROAD,748.0,EMMET ROAD,7
1441,MOUNT DRUMMOND AVENUE,HAROLD COTTAGES,81.0,EMMET STREET,12
1442,NORTH CIRCULAR ROAD,CHARLES ST,122.0,EMMET STREET,9
1443,AVOCA ROAD,SOUTH CIRCULAR ROAD,135.0,EMOR STREET,11
1444,LOMBARD STREET WEST,SOUTH CIRCULAR ROAD,202.0,EMORVILLE AVENUE,11
1445,BUCKINGHAM STREET UPPER,PORTLAND ROW,59.0,EMPRESS PLACE,14
1446,BUCKINGHAM STREET UPPER,PORTLAND ROW,94.0,EMPRESS PLACE,14
1447,ANNESLEY AVENUE,ANNESLEY PLACE,74.0,ENAVILLE AVENUE,13
1448,ENAVILLE AVENUE,TAAFFE'S PLACE,57.0,ENAVILLE ROAD,13
1449,MEATH STREET,SWIFT'S ALLEY,73.0,ENGINE ALLEY,6
1450,ENNAFORT PARK,ENNAFORT ROAD,97.0,ENNAFORT AVENUE,10
1452,ENNAFORT ROAD,ENNAFORT PARK,89.0,ENNAFORT DRIVE,10
1453,ENNAFORT ROAD,ENNAFORT PARK,90.0,ENNAFORT GROVE,10
1454,HOWTH ROAD,ENNAFORT ROAD,812.0,ENNAFORT PARK,10
1456,ENNEL DRIVE,MOATFIELD ROAD,181.0,ENNEL AVENUE,10
1457,MCCAULEY ROAD,ENNEL PARK,358.0,ENNEL DRIVE,10
1461,BOYNE STREET,BRUNSWICH PLACE,55.0,ERNE PLACE,20
1465,HANOVER STREET EAST,PEARSE STREET,175.0,ERNE STREET LOWER,19
1466,PEARSE STREET,FENIAN STREET,218.0,ERNE STREET UPPER,20
1467,SANDWITH STREET UPPER,ERNE STREET UPPER,105.0,ERNE TERRACE FRONT,20
1468,SANDWITH STREET UPPER,ERNE STREET UPPER,100.0,ERNE TERRACE REAR,20
1469,ERRIGAL ROAD,COOLEY ROAD,253.0,ERRIGAL GARDENS,8
1470,DRIMNAGH ROAD,MOURNE ROAD,366.0,ERRIGAL ROAD,8
1471,DRIMNAGH ROAD,MOURNE ROAD,590.0,ERRIGAL ROAD,8
1472,ANNALY ROAD,LEIX ROAD,184.0,ERRIS ROAD,12
1475,EXHANGE STREET LOWER,PARLIAMENT STREET,29.0,ESSEX GATE,9
1477,PARLIAMENT STREET,TEMPLE BAR,226.0,ESSEX STREET EAST,9
1478,FISHAMBLE STREET,EXHANGE STREET UPPER,324.0,ESSEX STREET WEST,9
1484,SUSSEX TERRACE,WILTON TERRACE,21.0,EUSTACE BRIDGE,R13
1485,DAME STREET,WELLINGTON QUAY,157.0,EUSTACE STREET,9
1487,JAMES STREET,BASIN STREET LOWER,166.0,EWINGTON LANE,2
1489,ESSEX GATE,WOOD QUAY,81.0,EXCHANGE STREET LOWER,9
1491,LORD EDWARD STREET,ESSEX GATE,90.0,EXCHANGE STREET UPPER,9
1493,DRURY STREET,SOUTH GREAT GEORGES STREET,71.0,FADE STREET,13
1494,CHURCH ROAD,MOYELTA ROAD,62.0,FAIRFIELD AVENUE,16
1495,CHURCH ROAD,MOYELTA ROAD,82.0,FAIRFIELD AVENUE,16
1501,FAIRVIEW STRAND,HOWTH ROAD,607.0,FAIRVIEW,15
1502,FAIRVIEW TERRACE,FAIRVIEW,162.0,FAIRVIEW AVENUE LOWER,15
1503,MARINO PARK,FAIRVIEW TERRACE,181.0,FAIRVIEW AVENUE UPPER,15
1505,FAIRVIEW STRAND,ADDISON ROAD,74.0,FAIRVIEW PASSAGE,15
1506,FAIRVIEW,RICHMOND ROAD,357.0,FAIRVIEW STRAND,15
1508,LEINSTER AVENUE,EAST WALL AVENUE,87.0,FAITH AVENUE,16
1509,COLLINS AVENUE,INNISNMAAN ROAD,239.0,FALCARRAGH ROAD,8
1510,CLAREMOUNT ROAD,SANDYMOUNT ROAD,369.0,FARNEY PARK,17
1517,CLONARD ROAD,KELLS ROAD,179.0,FAUGHART ROAD,10
1518,RATOATH ROAD,SAINT ATTRACTARP,28.0,FAUSSAGH AVENUE,12
1519,RATOATH ROAD,SAINT ATTRACTARP,910.0,FAUSSAGH AVENUE,12
1521,WESTLAND ROW,HOLLES STREET,367.0,FENIAN STREET,R14
1522,TEMPLEOGUE ROAD,RATHFARNHAM ROAD,161.0,FERGUS ROAD,13
1523,WALSH ROAD,HOMEFARM ROAD,479.0,FERGUSON ROAD,14
1524,WALSH ROAD,HOMEFARM ROAD,53.0,FERGUSON ROAD,14
1525,GLASAREE ROAD,BALLYGALL ROAD EAST,831.0,FERNDALE AVENUE,6
1526,BENEAVIN RD,FERNDALE AVENUE,237.0,FERNDALE ROAD,6
1527,SUNDRIVE ROAD,STANNAWAY ROAD,218.0,FERNS ROAD,10
1531,FERRYCARRIG ROAD,GLIN ROAD,387.0,FERRYCARRIG DRIVE,3
1536,LEIX ROAD,OFFALY ROAD,92.0,FERTULLAGH ROAD,12
1539,MARLBOROUGH STREET,CATHAL BRUGHA STREET,87.0,FINDLATER PLACE,15
1540,KINAHAN STREET,BLACK STREET,159.0,FINDLATER STREET,1
1544,FINGLAS ROAD,BALLYGALL CRESCENT,192.0,FINGLAS PLACE,6
1545,FINGLAS ROAD,BALLYGALL CRESCENT,153.0,FINGLAS PLACE,6
1546,MELLOWES ROAD,PROSPECT ROAD,1757.0,FINGLAS ROAD,R02
1547,KILDONAN AVENUE,CAPPAGH ROAD,157.0,FINGLASWOOD ROAD,1
1548,KILDONAN AVENUE,CAPPAGH ROAD,176.0,FINGLASWOOD ROAD,1
1549,SWORDS STREET,MOIRA ROAD,126.0,FINN STREET,1
1551,BALLYFERMOT ROAD,LIFFEY STREET WEST,172.0,FIRST AVENUE,16
1552,LORD EDWARD STREET,WOOD QUAY,182.0,FISHAMBLE STREET,9
1553,DARLEY STREET,MOUNT DRUMMOND AVENUE,163.0,FITZGERALD STREET,12
1554,FITZGIBBON STREET,NORTH CIRCULAR ROAD,209.0,FITZGIBBON LANE,9
1555,NORTH CIRCULAR ROAD,MOUNTJOY SQUARE EAST,175.0,FITZGIBBON STREET,9
1556,GLASILAWN AVENUE,BALLYGALL ROAD EAST,97.0,FITZMAURICE ROAD,6
1558,DRUMCONDRA ROAD LOWER,JONES ROAD,393.0,FITZROY AVENUE,15
1560,FITZWILLIAM STREET LOWER,MERRION STREET UPPER,314.0,FITZWILLIAM LANE,22
1561,LEESON STREET LOWER,FITZWILLIAM SQUARE EAST,249.0,FITZWILLIAM PLACE,18
1564,RINGSEND ROAD,DERMOT O HURLEY AVENUE,37.0,FITZWILLIAM QUAY,17
1565,RINGSEND ROAD,DERMOT O HURLEY AVENUE,182.0,FITZWILLIAM QUAY,17
1566,FITZWILLIAM PLACE,FITZWILLIAM STREET UPPER,118.0,FITZWILLIAM SQUARE EAST,18
1567,FITZWILLIAM SQUARE EAST,FITZWILLIAM SQUARE WEST,151.0,FITZWILLIAM SQUARE NORTH,18
1568,FITZWILLIAM SQUARE WEST,FITZWILLIAM SQUARE EAST,155.0,FITZWILLIAM SQUARE SOUTH,18
1569,FITZWILLIAM SQUARE NORTH,PEMBROKE STREET UPPER,103.0,FITZWILLIAM SQUARE WEST,18
1570,CAMBRIDGE ROAD,THOMAS STREET EAST,93.0,FITZWILLIAM STREET,18
1571,CAMBRIDGE ROAD,THOMAS STREET EAST,83.0,FITZWILLIAM STREET,18
1572,BAGGOT STREET UPPER,MERRION SQUARE SOUTH,166.0,FITZWILLIAM STREET LOWER,22
1573,FITZWILLIAM SQUARE WEST,BAGGOT STREET UPPER,190.0,FITZWILLIAM STREET UPPER,18
1574,BEDFORD ROW,COLLEGE STREET,98.0,FLEET STREET,16
1575,BEDFORD ROW,COLLEGE STREET,165.0,FLEET STREET,16
1576,WATERLOO ROAD,MESPIL ROAD,396.0,FLEMING PLACE,10
1577,WALSH ROAD,FERGUSON ROAD,161.0,FLEMING ROAD,14
1578,KINGSLAND PARK AVENUE,VICTORIA STREET,65.0,FLORENCE STREET,12
1579,CORPORATION STREET,AMIENS STREET,330.0,FOLEY STREET,14
1580,MOUNTJOY STREET,AUBURN STREET,226.0,FONTENOY STREET,5
1581,MARROWBONE LANE,LONG'S LANE,100.0,FORBES LANE,2
1582,MISERY HILL,SIR JOHN ROGERSONS QUAY,186.0,FORBES STREET,23
1584,COWPER ROAD,FORTFIELD TERRACE,108.0,FORTFIELD GARDENS,8
1585,KIMMAGE CROSS ROADS,TEMPLEOGUE ROAD,1024.0,FORTFIELD ROAD,R01
1586,TERENURE ROAD WEST,WAINSFORT ROAD,280.0,FORTFIELD ROAD,R01
1589,RAVENSDALE ROAD,EAST WALL ROAD,166.0,FORTH ROAD,16
1597,TEMPLE BAR,WELLINGTON QUAY,35.0,FOWNES STREET LOWER,9
1598,DAME STREET,TEMPLE BAR,63.0,FOWNES STREET UPPER,9
1599,DAME STREET,TEMPLE BAR,80.0,FOWNES STREET UPPER,9
1600,ORCHARD ROAD,JAMES LARKIN ROAD,248.0,FOX'S LANE,12
1601,CEDAR WALK,FOXFIELD DRIVE,399.0,FOXFIELD AVENUE,12
1602,FOXFIELD SAINT JOHN,FOXFIELD GREEN,227.0,FOXFIELD CRESCENT,12
1603,FOXFIELD PARK,FOXFIELD GROVE,164.0,FOXFIELD DRIVE,12
1604,FOXFIELD GROVE,BRIARFIELD VILLAS,114.0,FOXFIELD GREEN,12
1605,CEDAR WALK,GREENDALE ROAD,1031.0,FOXFIELD GROVE,12
1607,FOXFIELD PARK,FOXFIELD GROVE,127.0,FOXFIELD LAWN,12
1608,FOXFIELD ROAD,GREENDALE ROAD,728.0,FOXFIELD PARK,12
1610,FOXFIELD GREEN,GREENDALE ROAD,221.0,FOXFIELD SAINT JOHN,12
1611,FOXHILL PARK,FOXHILL CRESCENT,377.0,FOXHILL AVENUE,4
1619,FOXHILL AVENUE,FOXHILL CRESCENT,480.0,FOXHILL PARK,4
1622,THOMAS STREET,THE COOMBE,465.0,FRANCIS STREET,6
1624,RATHGAR ROAD,RATHMINES ROAD UPPER,394.0,FRANKFORT AVENUE,5
1625,AMIENS STREET,KILARNEY STREET,273.0,FRANKFORT COTTAGES,14
1626,FREDERICK STREET NORTH,HARDWICHE STREET,120.0,FREDERICK COURT,10
1627,DORSET STREET UPPER,FREDERICK STREET NORTH,208.0,FREDERICK LANE NORTH,11
1628,PARNELL SQUARE NORTH,DOREST STREET,197.0,FREDERICK STREET NORTH,R10
1629,MOLESWORTH STREET,NASSAU STREET,157.0,FREDERICK STREET SOUTH,17
1630,DAWSON LANE,FREDERICK STREET SOUTH,19.0,FREDERICK WALK,17
1631,GARDENER STREET LOWER,STORE STREET,79.0,FRENCHMAN'S LANE,14
1632,SMITHFIELD,BOW STREET,103.0,FRIARY AVENUE,3
1633,FRIARY AVENUE,SMITHFIELD,106.0,FRIARY GROVE,3
1634,CLANBRASSIL STREET,BLACKPITTS,150.0,FUMBALLY LANE,7
1638,CHERRY ORCHARD DRIVE,CHERRY ORCHARD CRESCENT,172.0,CHERRY ORCHARD PARK,2
1640,CHERRY ORCHARD DRIVE,CHERRY ORCHARD AVENUE,89.0,CHERRY ORCHARD PARADE,2
1641,CHERRY ORCHARD DRIVE,CHERRY ORCHARD AVENUE,70.0,CHERRY ORCHARD WAY,2
1643,OFFALY ROAD,ANNALY ROAD,97.0,GALMOY ROAD,12
1647,COOLEY ROAD,DOLPHIN ROAD,300.0,GALTYMORE ROAD,8
1648,COOLEY ROAD,DOLPHIN ROAD,173.0,GALTYMORE ROAD,8
1649,COOLEY ROAD,DOLPHIN ROAD,1526.0,GALTYMORE ROAD,8
1651,RATHMINES STREET,SPITALFIELDS,55.0,GARDEN LANE,6
1652,RATHMINES STREET,SPITALFIELDS,47.0,GARDEN LANE,6
1657,HILL STREET,MOUNTJOY SQUARE,154.0,GARDINER PLACE,10
1659,GARDNER STREET MIDDLE,BERESFORD PLACE,555.0,GARDINER STREET LOWER,R11
1660,MOUNTJOY SQUARE WEST,GARDNER STREET LOWER,163.0,GARDINER STREET MIDDLE,R11
1661,DORSET STREET LOWER,MOUNTJOY SQUARE WEST,290.0,GARDINER STREET UPPER,R11
1663,BALLYFERMOT ROAD,LANDEN ROAD,339.0,GARRYOWEN ROAD,4
1664,LINDSEY ROAD,IONA ROAD,83.0,GARTAN AVENUE,13
1665,CASTLE STREET,SHIP STREET LITTLE,97.0,GARTER COURT,10
1666,RATGAR AVENUE,RATGAR ROAD,330.0,GARVILLE AVENUE,4
1667,RATHGAR AVENUE,BRIGHTON ROAD,182.0,GARVILLE AVENUE UPPER,4
1672,MARY'S LANE,CUCKOO STREET,89.0,GEORGE'S HILL,7
1673,NORTH KINGS STREET,NORTH BRUNSWICK STREET,73.0,GEORGE'S LANE,2
1674,HARDWICKE PLACE,TEMPLE STREET,120.0,GEORGE'S PLACE,10
1675,COIN EXCHANGE PLACE,CITY QUAY,272.0,GEORGE'S QUAY,R10
1677,DENMRK STREET,PARNELL STREET,257.0,NORTH GREAT GEORGE'S STREET,10
1678,DAME STREET,STEPHEN STREET LOWER,314.0,GEORGE'S STREET GREAT SOUTH,R07
1680,SOUTH DOCK STREET,GORDON STREET,55.0,GERALD STREET,16
1681,ROYAL CANAL BANK,BEREKELEY ROAD,214.0,GERALDINE STREET,5
1682,GREENVILLE AVENUE,O'DONOVAN ROAD,130.0,GILBERT ROAD,7
1683,GILFORD ROAD,STRAND ROAD,194.0,GILFORD AVENUE,17
1685,GILFORD PARK,PARK AVENUE,184.0,GILFORD DRIVE,17
1686,GILFORD ROAD,WILFIELD PARK,291.0,GILFORD PARK,17
1688,STRAND ROAD,SANDYMOUNT GREEN,709.0,GILFORD ROAD,17
1690,GRIFFITH ROAD,SION HILL ROAD,413.0,GLANDORE ROAD,13
1693,BALLYGALL ROAD WEST,GLASILAWN AVENUE,808.0,GLASANAON ROAD,6
1694,BALLYGALL ROAD WEST,GLASILAWN AVENUE,558.0,GLASANAON ROAD,6
1696,GLASANAON ROAD,GLASILAWN ROAD,145.0,GLASILAWN AVENUE,6
1697,GLASANAON ROAD,GLASILAWN ROAD,121.0,GLASILAWN AVENUE,6
1698,BALLYGALL ROAD EAST,TOLKA ESTATE,230.0,GLASILAWN ROAD,6
1699,BALLYGALL ROAD EAST,TOLKA ESTATE,79.0,GLASMEEN ROAD,6
1700,GLASILAWN AVENUE,TOLKA ESTATE,18.0,GLASMEEN ROAD,6
1701,GLASNAMANA ROAD,GRIFFITH PARADE,91.0,GLASNAMANA PLACE,6
1702,GLASILAWN AVENUE,TOLKA ESTATE,98.0,GLASNAMANA ROAD,6
1703,BALLYMUN ROAD,TOLKA BRIDGES,307.0,GLASNEVIN HILL,13
1704,BALLYGALL ROAD WEST,BALLYMUN ROAD,1577.0,GLASNEVIN AVENUE,7
1707,GRIFFITH AVENUE,OLD FINGLAS ROAD,624.0,GLASNEVIN DOWNS,7
1708,BALLYMUN AVENUE,DELVILLE ROAD,247.0,GLASNEVIN DRIVE,7
1711,GLENCLOY ROAD,GLENDON ROAD,232.0,GLENAAN ROAD,8
1713,DARGLE ROAD,HOLLYBANK ROAD,128.0,GLENARM AVENUE,13
1714,LUCAN ROAD,GLENAULIN PARK,219.0,GLENAULIN DRIVE,4
1720,OLD CADRA ROAD,BLACKHORSE AVENUE,324.0,GLENBEIGH ROAD,10
1721,OLD CADRA ROAD,BLACKHORSE AVENUE,88.0,GLENBEIGH ROAD,10
1722,PARK ROAD,GLENDHU ROAD,211.0,GLENBROOK ROAD,9
1724,ELLENFIELD ROAD,THE THATCH ROAD,217.0,GLENCORP ROAD,8
1725,LARKHILL ROAD,LARKHILL ROAD,345.0,GLENCLOY ROAD,8
1726,BOTANIC AVENUE,HOLLYBANK ROAD,90.0,GLENDALOUGH ROAD,13
1728,GLENBROOK ROAD,GLENGARRIFF ROAD,268.0,GLENDHU ROAD,9
1731,AUGHAVANNA ROAD,RUTHLAND AVENUE,210.0,GLENEALY ROAD,11
1732,AUGHAVANNA ROAD,RUTHLAND AVENUE,47.0,GLENEALY ROAD,11
1734,TONLEGEE ROAD,GLENWOOD ROAD,86.0,GLENFARNE ROAD,11
1750,GLENTIES DRIVE,CARDIFFSBRIDGE ROAD,120.0,GLENTIES PARK,5
1751,GLENTIES DRIVE,CARDIFFSBRIDGE ROAD,142.0,GLENTIES PARK,5
1753,EDENMORE ROAD,TONLEGEE AVENUE,14.0,GLENWOOD ROAD,11
1754,EDENMORE ROAD,TONLEGEE AVENUE,478.0,GLENWOOD ROAD,11
1756,GLINMORE DRIVE,GLIN ROAD,222.0,GLIN AVENUE,3
1758,GREENCASTLE ROAD,GLIN AVENUE,324.0,GLIN DRIVE,3
1761,GREENCASTLE ROAD,NORTHERN CROSS ROUTE,305.0,GLIN ROAD,3
1762,GREENCASTLE ROAD,NORTHERN CROSS ROUTE,276.0,GLIN ROAD,3
