street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ABBEY PARK,6,3,2,14,14,172,,,319805,KILLESTER AVE.,,P�irc na Mainistreach
ABBEY STREET LOWER,3,1,1,15,15,315,,,326401,O'CONNELL ST.,BERESFORD PLACE,Sr�id na Mainistreach �ocht
ABBEY STREET MIDDLE,3,1,1,12,12,251,,,326305,LR. LIFFEY STREET,O'CONNELL STREET,Sr�id Mheadhan na Mainistreach
OLD ABBEY STREET,6,1,2,15,15,156,,,326401,BERESFORD PLACE,MARLBOROUGH STREET,Sean Sr�id na Mainistreach
ABBEY STREET UPPER,3,1,1,12,12,321,,,326305,CAPEL ST,LOWER LIFFEY STREET,Sr�id na Mainistreach Uacht
ABBEYFIELD,6,3,1,14,14,782,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,4,3,1,14,14,442,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,5,5,1,8,21,244,,1995,332907,MILLTOWN ROAD,,Goirt na Mainistreach
ABBOTSTOWN AVENUE,6,2,2,5,5,605,,,313116,CARDIFFBRIDGE RD,RATOATH ROAD,Ascaill Bhaile Abba
ABBOTSTOWN DRIVE,6,2,2,5,5,163,,,313116,RATOATH DRIVE,,C�ide Bhaile an Abba
ABBOTSTOWN ROAD,6,2,2,5,5,336,,,313116,CAPPAGH RD,RATOATH AVE.,B�thar Bhaile an Abba
ABERCORN ROAD,5,1,3,16,16,141,,,326402,SHERRIFF ST.,IRVINE TCE.,B�thar Abarearnaigh
ABERCORN TERRACE,6,4,1,5,13,116,,,326215,ST. PATRICKS TERRACE,,Ard�n Abarearnaigh
ABERDEEN STREET,6,1,3,1,1,144,,,326302,INFIRMARY RD.,FINDLATER ST.,Sr�id Abarde�n
ACCOMMODATION WALK,7,5,3,11,24,201,,,,,,An C�ngar
ACCOMMODATION WALK,7,5,2,11,24,304,,,,,,An C�ngar
